4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-160.00,25.00,-21.27,-8.78,-8.54,0.15778,-79.93,RIGHT,6.69975E-02,29.42,2.82209E-01,-107.35
-155.00,25.00,-21.03,-9.40,-9.11,0.22783,-82.59,RIGHT,6.88739E-02,4.35,2.62684E-01,-113.66
-150.00,25.00,-20.18,-10.11,-9.70,0.29985,-84.76,RIGHT,7.59178E-02,-11.94,2.42211E-01,-117.37
-145.00,25.00,-19.40,-10.86,-10.30,0.36960,-86.59,RIGHT,8.30610E-02,-20.32,2.21926E-01,-118.21
-140.00,25.00,-18.88,-11.67,-10.91,0.43453,-88.27,RIGHT,8.81497E-02,-22.66,2.02393E-01,-115.88
-135.00,25.00,-18.64,-12.50,-11.55,0.49321,-89.93,RIGHT,9.06853E-02,-19.99,1.83868E-01,-110.10
-130.00,25.00,-18.62,-13.36,-12.23,0.54462,88.44,RIGHT,9.08286E-02,-12.68,1.66587E-01,-100.67
-125.00,25.00,-18.79,-14.21,-12.91,0.58803,86.98,RIGHT,8.90767E-02,-0.86,1.50948E-01,-87.50
-120.00,25.00,-19.07,-15.02,-13.58,0.62374,85.94,RIGHT,8.62483E-02,15.34,1.37526E-01,-70.70
-115.00,25.00,-19.36,-15.72,-14.16,0.65368,85.58,RIGHT,8.34223E-02,35.49,1.26898E-01,-50.65
-110.00,25.00,-19.55,-16.25,-14.58,0.68065,85.81,RIGHT,8.16201E-02,58.64,1.19376E-01,-28.07
